,level_0,index,time,Slope,PID,condition,method,ss,Target
286,536,1036,664,-0.0324182639888465,5,N1,Observed,1,target
287,537,1037,688,0.029720712822032962,5,N1,Observed,1,target
288,538,1038,712,0.06580914850497609,5,N1,Observed,1,target
289,539,1039,736,0.030112547210228695,5,N1,Observed,1,target
290,540,1040,760,-0.007072344216316512,5,N1,Observed,1,target
291,541,1041,784,-0.07562850577835817,5,N1,Observed,1,target
292,542,1042,808,-0.1558406976406621,5,N1,Observed,1,target
293,543,1043,832,-0.20039481350017688,5,N1,Observed,1,target
294,544,1044,856,-0.2124682589132186,5,N1,Observed,1,target
295,545,1045,880,-0.17499348774866816,5,N1,Observed,1,target
296,546,1046,904,-0.10796567123499978,5,N1,Observed,1,target
297,547,1047,928,-0.021091462195951354,5,N1,Observed,1,target
298,548,1048,952,0.100036164819903,5,N1,Observed,1,target
299,549,1049,976,0.19339649560531832,5,N1,Observed,1,target
300,600,1200,-200,0.1219871012705125,6,N1,Observed,1,target
301,601,1201,-176,0.15129062915951355,6,N1,Observed,1,target
302,602,1202,-152,0.1194491920057714,6,N1,Observed,1,target
303,603,1203,-128,0.07473120474465678,6,N1,Observed,1,target
304,604,1204,-104,0.04627236918839637,6,N1,Observed,1,target
305,605,1205,-80,-0.0011313917769813593,6,N1,Observed,1,target
306,606,1206,-56,-0.09619450844771216,6,N1,Observed,1,target
307,607,1207,-32,-0.17189663313974254,6,N1,Observed,1,target
308,608,1208,-8,-0.2065488295954769,6,N1,Observed,1,target
309,609,1209,16,-0.2168629884143151,6,N1,Observed,1,target
310,610,1210,40,-0.2275742129877698,6,N1,Observed,1,target
311,611,1211,64,-0.23991673259545807,6,N1,Observed,1,target
312,612,1212,88,-0.27576653027589965,6,N1,Observed,1,target
313,613,1213,112,-0.3352147620567894,6,N1,Observed,1,target
314,614,1214,136,-0.3743894679920355,6,N1,Observed,1,target
315,615,1215,160,-0.39849070231946687,6,N1,Observed,1,target
316,616,1216,184,-0.3345129106272628,6,N1,Observed,1,target
317,617,1217,208,-0.24900349105062883,6,N1,Observed,1,target
318,618,1218,232,-0.14733518048965674,6,N1,Observed,1,target
319,619,1219,256,-0.07625452094921385,6,N1,Observed,1,target
320,620,1220,280,-0.03981351026470061,6,N1,Observed,1,target
321,621,1221,304,-0.029983013702644928,6,N1,Observed,1,target
322,622,1222,328,-0.004309784712175381,6,N1,Observed,1,target
323,623,1223,352,0.027866654427898502,6,N1,Observed,1,target
324,624,1224,376,0.05091971016487611,6,N1,Observed,1,target
325,625,1225,400,0.03381843038931898,6,N1,Observed,1,target
326,626,1226,424,0.010593971029517715,6,N1,Observed,1,target
327,627,1227,448,-0.0053882244037835566,6,N1,Observed,1,target
328,628,1228,472,-0.013623854528255914,6,N1,Observed,1,target
329,629,1229,496,0.018099421792357104,6,N1,Observed,1,target
330,630,1230,520,0.008056397926567729,6,N1,Observed,1,target
331,631,1231,544,-0.06743723381081322,6,N1,Observed,1,target
332,632,1232,568,-0.13359491502863055,6,N1,Observed,1,target
333,633,1233,592,-0.12219051897364987,6,N1,Observed,1,target
334,634,1234,616,-0.013662431443144185,6,N1,Observed,1,target
335,635,1235,640,0.09163577094892278,6,N1,Observed,1,target
336,636,1236,664,0.09047155766087843,6,N1,Observed,1,target
337,637,1237,688,0.01298258083282878,6,N1,Observed,1,target
338,638,1238,712,-0.04968150764727802,6,N1,Observed,1,target
339,639,1239,736,-0.0653080504736036,6,N1,Observed,1,target
340,640,1240,760,-0.028836419503386723,6,N1,Observed,1,target
341,641,1241,784,0.00862804238634123,6,N1,Observed,1,target
342,642,1242,808,0.05754867955114388,6,N1,Observed,1,target
343,643,1243,832,0.05759421999957526,6,N1,Observed,1,target
344,644,1244,856,0.04889940653311531,6,N1,Observed,1,target
345,645,1245,880,0.06511087886506728,6,N1,Observed,1,target
346,646,1246,904,0.08014240226090114,6,N1,Observed,1,target
347,647,1247,928,0.05003925231124636,6,N1,Observed,1,target
348,648,1248,952,-0.02128470873563204,6,N1,Observed,1,target
349,649,1249,976,-0.1270134176092703,6,N1,Observed,1,target
350,700,1400,-200,-0.026819688538880896,7,N1,Observed,1,target
351,701,1401,-176,0.07641457080265524,7,N1,Observed,1,target
352,702,1402,-152,0.09407049795123885,7,N1,Observed,1,target
353,703,1403,-128,0.07159146446401372,7,N1,Observed,1,target
354,704,1404,-104,0.010291855467197656,7,N1,Observed,1,target
355,705,1405,-80,-0.12940610229675134,7,N1,Observed,1,target
356,706,1406,-56,-0.1744331047493178,7,N1,Observed,1,target
357,707,1407,-32,-0.11906715583825837,7,N1,Observed,1,target
358,708,1408,-8,-0.019453724813430832,7,N1,Observed,1,target
359,709,1409,16,0.010410694283279225,7,N1,Observed,1,target
360,710,1410,40,-0.05587423260873727,7,N1,Observed,1,target
361,711,1411,64,-0.09956261592229887,7,N1,Observed,1,target
362,712,1412,88,-0.09421924648147932,7,N1,Observed,1,target
363,713,1413,112,-0.07995157251119743,7,N1,Observed,1,target
364,714,1414,136,-0.12224941107256791,7,N1,Observed,1,target
365,715,1415,160,-0.1838289382726627,7,N1,Observed,1,target
366,716,1416,184,-0.21678082524505116,7,N1,Observed,1,target
367,717,1417,208,-0.2065997595782766,7,N1,Observed,1,target
368,718,1418,232,-0.1627891375499849,7,N1,Observed,1,target
369,719,1419,256,-0.22005312563050383,7,N1,Observed,1,target
370,720,1420,280,-0.3544642923594115,7,N1,Observed,1,target
371,721,1421,304,-0.4289517268861858,7,N1,Observed,1,target
372,722,1422,328,-0.410761584107072,7,N1,Observed,1,target
373,723,1423,352,-0.31147966089729257,7,N1,Observed,1,target
374,724,1424,376,-0.20941506241164118,7,N1,Observed,1,target
