,time,Slope,PID,condition,method
310,40,-0.005689891176195667,1,ss1_sim,Shuffled
311,64,0.004103563042593292,1,ss1_sim,Shuffled
312,88,0.02718617473812575,1,ss1_sim,Shuffled
313,112,-0.025999660076467743,1,ss1_sim,Shuffled
314,136,0.06716270801697151,1,ss1_sim,Shuffled
315,160,0.0159063451853247,1,ss1_sim,Shuffled
316,184,0.027482703450206012,1,ss1_sim,Shuffled
317,208,0.02119480767965672,1,ss1_sim,Shuffled
318,232,0.011151618192664072,1,ss1_sim,Shuffled
319,256,0.012095250998903961,1,ss1_sim,Shuffled
320,280,-0.02053165257424084,1,ss1_sim,Shuffled
321,304,-0.02274848922557741,1,ss1_sim,Shuffled
322,328,0.01730364899249266,1,ss1_sim,Shuffled
323,352,-0.03812338519246345,1,ss1_sim,Shuffled
324,376,0.03865313823819728,1,ss1_sim,Shuffled
325,400,-0.004762776032361079,1,ss1_sim,Shuffled
326,424,0.01577127751418634,1,ss1_sim,Shuffled
327,448,0.0647844089728349,1,ss1_sim,Shuffled
328,472,-0.01343811245547292,1,ss1_sim,Shuffled
329,496,0.0025739234913828243,1,ss1_sim,Shuffled
330,520,0.031810263700523235,1,ss1_sim,Shuffled
331,544,-0.03110330939731808,1,ss1_sim,Shuffled
332,568,-0.01630655576517354,1,ss1_sim,Shuffled
333,592,0.009967058136805818,1,ss1_sim,Shuffled
334,616,0.0009791261601860071,1,ss1_sim,Shuffled
335,640,-0.025458102893955736,1,ss1_sim,Shuffled
336,664,-0.02926290133800864,1,ss1_sim,Shuffled
337,688,-0.044323103463432934,1,ss1_sim,Shuffled
338,712,-0.008446021180448904,1,ss1_sim,Shuffled
339,736,0.010723394658298574,1,ss1_sim,Shuffled
340,760,-0.01605634827738964,1,ss1_sim,Shuffled
341,784,0.009833182139819461,1,ss1_sim,Shuffled
342,808,0.04243250151992308,1,ss1_sim,Shuffled
343,832,-0.0021540029480666203,1,ss1_sim,Shuffled
344,856,-0.010983396623886555,1,ss1_sim,Shuffled
345,880,0.010650130296687604,1,ss1_sim,Shuffled
346,904,0.009072810881604927,1,ss1_sim,Shuffled
347,928,-0.024202257830722745,1,ss1_sim,Shuffled
348,952,-0.027865897871346,1,ss1_sim,Shuffled
349,976,0.019747987748455206,1,ss1_sim,Shuffled
350,-200,0.03013719949789448,1,ss2,Shuffled
351,-176,0.01857425322108738,1,ss2,Shuffled
352,-152,-0.019135733328849023,1,ss2,Shuffled
353,-128,-0.004754287941655849,1,ss2,Shuffled
354,-104,-0.05519730962594741,1,ss2,Shuffled
355,-80,-0.07278709677510152,1,ss2,Shuffled
356,-56,-0.00430491130624414,1,ss2,Shuffled
357,-32,0.018853262067976866,1,ss2,Shuffled
358,-8,-0.04650032155431111,1,ss2,Shuffled
359,16,-0.04403176069678883,1,ss2,Shuffled
360,40,-0.00739745827108777,1,ss2,Shuffled
361,64,0.022974827991129956,1,ss2,Shuffled
362,88,-0.007462287945700395,1,ss2,Shuffled
363,112,0.01093982947154539,1,ss2,Shuffled
364,136,0.023510754910693085,1,ss2,Shuffled
365,160,-0.004655550521271514,1,ss2,Shuffled
366,184,0.027641526403610634,1,ss2,Shuffled
367,208,0.035384615643077356,1,ss2,Shuffled
368,232,-0.000642260092538904,1,ss2,Shuffled
369,256,0.04243491873159636,1,ss2,Shuffled
370,280,-0.03915773516745902,1,ss2,Shuffled
371,304,0.009934480869284204,1,ss2,Shuffled
372,328,0.02166177996363892,1,ss2,Shuffled
373,352,0.04043058493033125,1,ss2,Shuffled
374,376,0.0008237106162649102,1,ss2,Shuffled
375,400,0.0016522715774275054,1,ss2,Shuffled
376,424,-0.03223380689357784,1,ss2,Shuffled
377,448,0.03238248890562371,1,ss2,Shuffled
378,472,-0.015193576590010948,1,ss2,Shuffled
379,496,-0.004793116997739198,1,ss2,Shuffled
380,520,0.01579927341525857,1,ss2,Shuffled
381,544,-0.0014002965305366006,1,ss2,Shuffled
382,568,0.011538937132861568,1,ss2,Shuffled
383,592,0.011916352228607804,1,ss2,Shuffled
384,616,-0.03725348076459784,1,ss2,Shuffled
385,640,0.03361196348743629,1,ss2,Shuffled
386,664,-0.043636721488092244,1,ss2,Shuffled
387,688,-0.04708355410905834,1,ss2,Shuffled
388,712,-0.0015202619211262265,1,ss2,Shuffled
389,736,0.03739420421013071,1,ss2,Shuffled
390,760,0.011376870688620552,1,ss2,Shuffled
391,784,-0.0014507291544641823,1,ss2,Shuffled
392,808,-0.02088567760551925,1,ss2,Shuffled
393,832,-0.03188809394090103,1,ss2,Shuffled
394,856,-0.013172948039756932,1,ss2,Shuffled
395,880,0.05170775041410718,1,ss2,Shuffled
396,904,-0.04206701370246071,1,ss2,Shuffled
397,928,0.001419702583056448,1,ss2,Shuffled
398,952,-0.028965422299159483,1,ss2,Shuffled
399,976,0.00027220100741933394,1,ss2,Shuffled
400,-200,-0.015289810284282404,2,ss1_sim,Observed
401,-176,-0.084453337445398,2,ss1_sim,Observed
402,-152,-0.067657867220604,2,ss1_sim,Observed
403,-128,-0.004983073161095439,2,ss1_sim,Observed
404,-104,0.03157985183715282,2,ss1_sim,Observed
405,-80,0.047560883124263285,2,ss1_sim,Observed
406,-56,0.09070302798878545,2,ss1_sim,Observed
407,-32,0.14906339694202644,2,ss1_sim,Observed
408,-8,0.1579707214946491,2,ss1_sim,Observed
409,16,0.14371090689078703,2,ss1_sim,Observed
410,40,0.13088907375892958,2,ss1_sim,Observed
411,64,0.15467047255875535,2,ss1_sim,Observed
412,88,0.2255358055436415,2,ss1_sim,Observed
413,112,0.2853472640990909,2,ss1_sim,Observed
414,136,0.283222756251164,2,ss1_sim,Observed
415,160,0.2581051618094296,2,ss1_sim,Observed
416,184,0.2211636672445794,2,ss1_sim,Observed
417,208,0.17237241947883578,2,ss1_sim,Observed
418,232,0.12132002432554012,2,ss1_sim,Observed
419,256,0.11217898757673002,2,ss1_sim,Observed
420,280,0.1651643033918714,2,ss1_sim,Observed
421,304,0.2284662586839328,2,ss1_sim,Observed
422,328,0.2577370232733061,2,ss1_sim,Observed
423,352,0.2661814511262161,2,ss1_sim,Observed
424,376,0.23082047031171982,2,ss1_sim,Observed
425,400,0.18759939610990697,2,ss1_sim,Observed
426,424,0.13788333048921378,2,ss1_sim,Observed
427,448,0.08583582360355442,2,ss1_sim,Observed
428,472,0.07963017302400421,2,ss1_sim,Observed
429,496,0.11243621867510822,2,ss1_sim,Observed
430,520,0.09775051756897708,2,ss1_sim,Observed
431,544,0.04151229647823982,2,ss1_sim,Observed
432,568,0.01028405098912633,2,ss1_sim,Observed
433,592,0.044485116831137615,2,ss1_sim,Observed
434,616,0.1134594818359112,2,ss1_sim,Observed
435,640,0.1332211964930837,2,ss1_sim,Observed
436,664,0.08897492241950049,2,ss1_sim,Observed
437,688,0.04091545012449368,2,ss1_sim,Observed
438,712,0.02237454298816303,2,ss1_sim,Observed
439,736,0.014254353658347275,2,ss1_sim,Observed
440,760,-0.007544759670355352,2,ss1_sim,Observed
441,784,-0.052230254856792925,2,ss1_sim,Observed
442,808,-0.026345741256904892,2,ss1_sim,Observed
443,832,-0.00486535123562704,2,ss1_sim,Observed
444,856,-0.0005501275851857411,2,ss1_sim,Observed
445,880,0.03274206827595379,2,ss1_sim,Observed
446,904,0.006725934204325987,2,ss1_sim,Observed
447,928,-0.011774191711033166,2,ss1_sim,Observed
448,952,0.00986465802624037,2,ss1_sim,Observed
449,976,0.0425054250364534,2,ss1_sim,Observed
450,-200,0.08099938576307822,2,ss2,Observed
451,-176,0.12677220148775314,2,ss2,Observed
452,-152,0.12426844144515586,2,ss2,Observed
453,-128,0.09871103821102362,2,ss2,Observed
454,-104,0.06646600755407969,2,ss2,Observed
455,-80,0.05163192753973043,2,ss2,Observed
456,-56,0.12058325426436949,2,ss2,Observed
457,-32,0.18485406892910358,2,ss2,Observed
458,-8,0.19872413924400803,2,ss2,Observed
459,16,0.15477884382450918,2,ss2,Observed
460,40,0.03766643731752744,2,ss2,Observed
