,level_0,index,time,Slope,PID,condition,method,Target,ss,label,label_all,Time Period,Time
221,421,821,304,0.035317887711786865,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
222,422,822,328,-0.0016072283409701165,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
223,423,823,352,0.022695179550313083,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
224,424,824,376,0.10189672230122286,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
225,425,825,400,0.1474672866534919,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
226,426,826,424,0.18178076048596759,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
227,427,827,448,0.21535148150282676,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
228,428,828,472,0.22031036585391464,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
229,429,829,496,0.21320035226497688,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
230,430,830,520,0.25167517340532514,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
231,431,831,544,0.2975862357227635,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
232,432,832,568,0.30531435509619326,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
233,433,833,592,0.30041534908917156,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
234,434,834,616,0.30158289061631843,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
